Id,Name,External_Id,API_Id,NearestCity,County,Coordinates,Lat,Lng,Distance,UcIpmName,WeatherAPI_Id,Active,AllowToDeactivate,AllowToDelete,RegionId,RegionName,MissingRecords
96,Sisquoc,165,,Santa Maria,Santa Barbara,"34.84,-120.21",34.84,-120.21,0.0,SISQUOC.A,1,True,False,False,3,South Coast,0
201,Smith River,263,,Smith River,Del Norte,"41.894592,-124.165043",41.894592,-124.165043,0.0,,1,True,False,False,2,North Coast,0
161,Soledad II,252,,Soledad,Monterey,"36.4567374202028,-121.344397148941",36.45673742020282,-121.34439714894093,0.0,none,1,True,False,False,4,Central Coast,0
163,Staten Island,242,,Walnut Grove,San Joaquin,"38.192397,-121.510261",38.192397,-121.510261,0.0,242,1,True,False,False,8,Delta,0
8,Stratford,015,,Stratford,Kings,"36.16,-119.85",36.16,-119.85,0.0,STRATFRD.A,1,True,False,False,13,South San Joaquin Valley,0
59,Suisun Valley,123,,Cordelia,Solano,"38.23,-122.12",38.23,-122.12,0.0,SUISNVLY.A,1,False,True,False,0,,180
173,TAFETA HOBO,401,20121048,Taputimu,Taputimu,"-14.32095,-170.754286",-14.32095,-170.754286,0.0,,3,True,False,False,17,American Samoa,180
24,Temecula,062,,Rancho California,Riverside,"33.49,-117.22",33.49,-117.22,0.0,TEMECULA.A,1,True,False,False,14,South Inland,0
71,Temecula East II,137,,Temecula,Riverside,"33.56,-117.03",33.56,-117.03,0.0,CALLOWAY_EAST.A,1,False,True,False,14,South Inland,180
157,Temecula East III,237,,Temecula,Riverside,"33.55,-117.04",33.55,-117.04,0.0,,1,True,False,False,14,South Inland,0
177,TEXEIRA HOBO,405,21356102,Pukalani,Maui,"20.7952,-156.3489",20.7952,-156.3489,0.0,,6,True,False,False,20,Hawaii -- Maui,0
